idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
78,80.0,400,60,290.6098,63.5592,1.6,3.2997,60.0004,65.8165,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2144,0.7758,79.99,13.09,3.13,0.08,0.16,90.19,True,False,True
79,80.0,400,60,326.1358,64.6238,1.6,3.2994,60.0234,66.9902,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3629,0.7011,79.99,14.77,3.58,0.1,0.19,91.46,True,True,True
7,20.0,400,60,65.769,79.4757,4.9984,1.1508,60.0052,62.6509,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2748,0.7628,19.99,2.12,2.12,0.04,0.03,20.07,True,True,True
80,80.0,400,90,293.5845,63.0311,1.6,3.2999,60.0115,65.8176,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2269,0.7749,79.99,14.23,3.47,0.09,0.16,91.0,True,False,True
81,80.0,400,90,330.5778,64.4285,1.6,3.2998,60.0095,67.1456,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3814,0.6988,79.99,16.11,3.98,0.1,0.19,92.41,True,True,True
82,80.0,400,120,296.7126,63.3548,1.6001,3.2997,60.0016,66.0642,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2399,0.7737,79.99,15.42,3.82,0.09,0.15,91.82,True,False,True
83,80.0,400,120,335.2976,64.363,1.6,3.2998,60.015,66.9867,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.4012,0.6967,79.99,17.51,4.37,0.1,0.21,93.44,True,True,True
84,80.0,400,150,299.9887,63.6956,1.6001,3.2999,60.0354,66.0631,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2536,0.7726,79.99,16.65,4.17,0.09,0.16,92.71,True,False,True
85,80.0,400,150,340.298,64.3237,1.6,3.2994,60.0056,67.372,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.4221,0.6939,79.99,18.98,4.81,0.11,0.19,94.46,True,True,True
86,80.0,450,0,249.2849,62.201,1.6001,3.2992,60.0493,65.8804,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.172,0.7888,79.99,10.74,2.45,0.08,0.13,88.49,True,False,True
87,80.0,450,0,272.909,63.4843,1.6,3.2994,60.0064,66.63,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.283,0.7274,79.99,11.81,2.73,0.09,0.16,89.33,True,True,True
88,80.0,450,30,251.5781,64.0252,1.6,3.2982,60.0097,65.7293,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.1827,0.7882,79.99,11.78,2.76,0.08,0.14,89.23,True,False,True
89,80.0,450,30,276.0344,62.9192,1.6001,3.2986,60.0421,66.8399,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2977,0.7256,79.99,12.98,3.09,0.09,0.16,90.13,True,True,True
8,20.0,400,90,65.284,82.5869,4.8876,1.1001,62.4125,66.5806,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2728,0.768,19.99,2.4,2.39,0.04,0.02,20.06,True,False,True
