Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Stack Power (kW)
55.0,500,80,157.4685,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8226,0.7196,54.92,1.74,56.66
55.0,500,100,157.6153,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8233,0.7234,54.92,2.09,57.01
55.0,500,120,158.5597,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8283,0.7236,54.92,2.45,57.37
60.0,400,0,213.4267,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8919,0.7067,59.92,0.41,60.33
20.0,500,20,54.2041,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2831,0.7444,19.93,0.25,20.17
60.0,400,20,213.6404,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8928,0.7103,59.92,0.78,60.7
60.0,400,40,215.7477,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9016,0.7077,59.92,1.16,61.07
60.0,400,60,216.1418,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9032,0.7108,59.92,1.53,61.45
60.0,400,80,217.3951,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9085,0.7111,59.92,1.92,61.84
60.0,400,100,219.0182,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9153,0.7104,59.92,2.32,62.24
60.0,400,120,221.5408,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9258,0.707,59.92,2.74,62.65
60.0,450,0,187.4078,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8811,0.7154,59.92,0.41,60.33
60.0,450,20,188.3624,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8855,0.716,59.92,0.77,60.69
60.0,450,40,189.9379,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8929,0.7144,59.92,1.15,61.06
60.0,450,60,190.3393,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8948,0.7173,59.92,1.52,61.44
20.0,500,40,54.503,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2847,0.7446,19.93,0.37,20.29
60.0,450,80,192.879,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9068,0.7124,59.92,1.92,61.83
60.0,450,100,194.7814,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9157,0.7101,59.92,2.32,62.24
60.0,450,120,194.6374,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.915,0.715,59.92,2.7,62.62
60.0,500,0,167.4281,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8746,0.7207,59.92,0.41,60.33
60.0,500,20,168.6102,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8808,0.7199,59.92,0.77,60.69
60.0,500,40,169.6955,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8864,0.7196,59.92,1.14,61.06
60.0,500,60,171.7723,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8973,0.7154,59.92,1.52,61.44
60.0,500,80,171.4822,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.8958,0.7209,59.92,1.89,61.81
60.0,500,100,173.2561,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.905,0.7182,59.92,2.29,62.21
60.0,500,120,174.4506,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9113,0.7178,59.92,2.69,62.61
20.0,500,60,54.6535,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2855,0.7469,19.93,0.48,20.41
65.0,400,0,231.6438,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.968,0.7055,64.92,0.45,65.37
65.0,400,20,233.4843,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9757,0.7042,64.92,0.85,65.77
65.0,400,40,234.197,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9787,0.7064,64.92,1.26,66.17
65.0,400,60,236.2675,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9873,0.7046,64.92,1.67,66.59
65.0,400,80,238.4669,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9965,0.7026,64.92,2.11,67.02
65.0,400,100,238.9802,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9987,0.7055,64.92,2.53,67.44
65.0,400,120,241.5154,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0093,0.7028,64.91,2.98,67.9
65.0,450,0,204.4061,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.961,0.7106,64.92,0.45,65.37
65.0,450,20,205.3397,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9654,0.7117,64.92,0.84,65.76
65.0,450,40,205.9017,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.968,0.7141,64.92,1.24,66.16
20.0,500,80,54.8955,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2868,0.7481,19.93,0.61,20.53
20.0,400,0,67.2261,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2809,0.7459,19.93,0.13,20.06
65.0,450,60,208.3473,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9795,0.7101,64.92,1.66,66.58
65.0,450,80,208.8294,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9818,0.7129,64.92,2.07,66.99
65.0,450,100,209.9562,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9871,0.7136,64.92,2.5,67.42
65.0,450,120,211.8432,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9959,0.7119,64.92,2.94,67.86
65.0,500,0,182.8122,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9549,0.7151,64.92,0.44,65.37
65.0,500,20,183.1104,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9565,0.7182,64.92,0.83,65.76
65.0,500,40,186.4749,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9741,0.7097,64.92,1.25,66.17
65.0,500,60,185.3313,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9681,0.7183,64.92,1.64,66.56
